date,portfolio_return,long_count,short_count,long_mean_pred,short_mean_pred,total_stocks,long_permnos,short_permnos
2019-11-30,-0.051037789062,50,50,0.02291715310398292,-0.014999918520367656,937,"81241,17672,49373,14601,43757,21371,92257,91392,14229,16816,66384,10182,14776,16432,12503,13046,81540,93423,85926,84656,77178,93101,78038,13610,86356,79879,15272,71175,90507,85198,70519,40125,51369,48506,79906,80539,87137,81061,24476,10517,79859,90071,90175,16338,25785,90756,82598,89258,13983,76804","17855,18729,77338,15284,14944,56274,93312,15585,17334,90178,88863,13181,17700,83443,10200,92043,14988,90734,63467,40272,16967,14811,90177,83534,14593,14983,76709,84788,16382,10107,89393,16304,14054,16597,15638,93436,15183,17685,16595,14325,16655,17778,14828,16649,17341,17701,16140,16932,16968,17948"
2019-12-31,0.005458057119999998,50,50,0.022200486326441476,-0.015781148818384803,937,"13688,92043,17672,16816,80957,49373,18064,75828,14229,14601,85753,87137,90071,90558,14776,38295,92257,49154,79879,16338,78038,84262,70519,78975,25785,16343,92602,45911,77178,19561,21371,86356,71175,89258,14984,81655,85926,81540,13046,91413,60599,67847,87006,12503,82651,84761,25320,76605,79906,51369","10200,26403,81677,15585,17700,85002,17864,90178,14136,17855,93436,16381,75107,64186,90177,14882,14988,16287,16968,13947,16967,92775,88863,16382,84788,15546,16595,17685,89393,88949,16664,14983,16597,17341,15638,17778,84032,18137,16068,18141,16140,16649,17948,15046,16655,16304,17701,18135,16932,14054"
2020-01-31,-0.043108533442,50,50,0.02453162093719612,-0.017314415006093032,937,"92043,16816,17672,70519,80957,14229,25785,86868,69032,77178,14776,48486,85753,92257,87137,66384,75603,90175,72996,79879,13046,89258,51369,24476,29209,13141,87006,45911,28484,76081,60986,71175,11896,78038,21371,15069,80415,53613,20415,88439,75607,92602,12374,75828,13904,88182,72726,90558,10182,90880","26403,89031,85002,17700,15108,83799,89626,15222,15850,14136,15585,16967,90177,15046,14811,84032,80069,81736,75107,89393,14044,15788,16068,16655,13643,16304,13947,14567,18145,17685,18141,17855,17778,16382,17341,16649,16597,16595,14325,15546,16968,14983,16657,16140,15638,17948,17701,18135,14054,16932"
2020-02-29,-0.02745328336999999,50,50,0.023657425432099078,-0.019404508336131953,939,"92043,12503,16816,80957,13721,17672,86868,69032,77178,70519,87006,25785,91413,85753,13046,79878,78038,14776,79879,90720,60986,18267,21371,89258,90071,81540,14229,60599,20415,14076,16253,81061,29209,76605,76804,75828,19393,17787,51369,79839,90175,14984,87842,19880,48486,49154,70092,86979,79785,14008","85710,13704,75976,16664,15535,16309,16068,14988,92775,14593,18145,75107,84788,14567,15284,90177,14641,16967,16304,15638,13085,84032,17778,88863,17855,15585,16382,16287,15788,14325,85002,15546,18141,13947,14436,16649,14044,16655,89393,16597,16968,16595,17341,14983,16140,17701,18135,16932,14054,15831"
2020-03-31,-0.08173452573399997,50,50,0.02201015584939021,-0.0166976460295004,932,"16816,92043,85753,70519,86868,25785,13721,60599,75603,89258,69032,20415,18203,16435,86582,11891,14229,76605,79785,13141,25320,14776,77274,78038,92326,72726,81540,87137,86356,87842,80415,90507,89781,10302,16338,76804,13046,34032,21020,87006,12400,12369,13730,75828,12503,10182,79879,85348,27562,27983","16382,15291,13085,16924,16309,14136,16304,84788,14811,14567,78875,14593,17685,14044,15546,80069,11370,16971,13704,14803,14436,14054,75107,89393,17341,18312,18145,18137,16649,17855,16287,16968,16595,17778,15638,15788,16597,14325,88949,14176,16655,18141,15222,16140,17701,17948,14983,18135,15831,16932"
2020-04-30,-0.094352800366,50,50,0.023873184803668745,-0.017254591146789983,959,"92043,88421,16816,70519,86868,75607,14229,16505,89258,85753,69032,79879,13262,49656,20415,72726,25785,14776,72996,14464,86356,13721,13046,18267,17223,86582,84519,12369,87842,76841,81540,15302,17672,31500,16435,78038,84597,38659,17787,16253,35044,81055,21020,10629,51369,76892,60599,84656,92121,85198","13643,15535,16595,16382,16287,11370,17864,16649,14944,14176,14054,88873,17855,10107,20117,14641,15850,14593,89393,14988,14811,18137,17778,90215,14325,88949,90177,92775,84788,15638,91498,15046,15788,16657,17701,18135,16597,17341,18141,16140,14983,16655,17104,16968,16924,17201,17987,16932,15831,17948"
2020-05-31,-0.111682688198,50,50,0.02452213279031468,-0.017460619098756815,961,"16816,13262,92043,70519,85753,12503,14229,86868,79906,31500,14776,82651,91356,79879,69032,13046,49015,75607,88159,89258,76744,38703,46886,78038,81540,75603,10397,14008,17787,82486,87137,90880,84262,14702,25785,76804,83534,16505,86582,15579,64995,12400,20765,76892,87842,20053,40125,60599,77702,78981","16692,13379,26403,90215,81241,14944,16304,13688,17341,14988,15067,16649,16382,91611,17701,12927,16068,16595,89393,16968,14325,18312,17778,16657,17685,15585,84788,15788,15546,18141,88949,15638,15535,18137,90177,93436,18452,16655,16140,17104,91498,16386,14983,16924,15222,16932,15831,18203,17948,17987"
2020-06-30,-0.032837240717999996,50,50,0.023763297262717434,-0.0256054687683871,973,"75607,13046,70519,92043,14229,25785,90071,79879,85753,20415,90276,79637,69032,86868,31500,81540,21371,10397,86047,18267,87842,27983,46886,15707,34032,85710,60687,82598,11403,38659,85269,92257,49656,89258,13908,16434,80864,72726,12872,16051,68196,14776,90558,84262,87447,66093,48486,78981,13721,76661","13704,14811,13643,92775,17341,84788,80563,17855,92040,16967,88873,17104,89393,12927,15585,14882,16649,15546,16386,13947,14554,18141,15638,16968,17701,15534,88863,14136,18135,15535,39490,16655,18137,15788,16924,16140,18485,14983,82779,93436,80069,15222,18452,14054,16068,17948,15831,16932,17987,18203"
2020-07-31,-0.013989594541999988,50,50,0.024500582826738303,-0.028262936429574816,973,"79879,14229,90071,25785,75607,70519,18267,92043,72726,43757,49656,89258,69032,86047,24328,16851,76804,71175,38703,14776,87006,76082,27983,86868,13046,84348,13908,14076,15707,90248,20415,91594,78038,75186,50876,75603,92257,76892,76841,48486,16505,32803,90558,20053,25081,16816,13721,15398,21186,60599","17125,92040,10200,14044,90664,88421,16655,10107,14176,90177,17855,16649,16829,16597,18576,13947,92221,17104,17341,18484,39490,16968,15534,16386,80069,93436,18141,88863,14983,17701,88351,18135,16068,82779,16932,16924,18452,18485,18580,18137,87337,13262,16140,15788,15222,18567,14054,18572,17948,15831"
2020-08-31,-0.07854720040799999,50,50,0.023145633258696383,-0.02493605255905576,975,"75607,13046,25785,90071,27983,70519,79879,14229,92043,72726,90248,38703,13983,49656,18592,43757,60599,89258,15707,40125,69032,20415,75186,71175,76804,13721,88860,76082,86868,13908,13901,80415,89290,84348,16505,13928,14776,82651,16851,49154,14076,84262,59408,76841,76795,92778,85753,50876,17223,12503","88863,18726,14970,17341,14136,16968,16595,17201,92040,13947,90233,80563,18576,13323,15638,13262,18312,39490,16829,16068,21020,17855,17701,18141,14176,18135,14983,88421,15534,88351,15222,14245,17106,16386,93436,18770,18452,15198,16140,16932,16924,15788,18485,18137,14054,18572,18580,17948,17907,15831"
